Coin_ID,Coin_Name,Symbol,Quantity,Purchase_Price,Purchase_Date,Purchase_Time,
smooth-love-potion,Smooth Love Potion,slp,100000,0.00610,2024-03-19,20:02,
smooth-love-potion,Smooth Love Potion,slp,50000,0.00520,2024-03-21,10:28,
smooth-love-potion,Smooth Love Potion,slp,2500,0.00442,2024-12-19,13:36,
smooth-love-potion,Smooth Love Potion,slp,563824,0.00443,2024-12-19,13:37,
smooth-love-potion,Smooth Love Potion,slp,300000,0.00359,2025-01-08,11:46,
ronin,Ronin,RON,1500,4.41200,2024-03-27,15:09,
ronin,Ronin,RON,59,4.04100,2024-03-29,13:24,
ronin,Ronin,RON,1500,4.31100,2024-04-02,12:40,
ronin,Ronin,RON,762,3.93000,2024-04-08,18:58,
ronin,Ronin,RON,888,3.54100,2024-04-12,21:34,
ronin,Ronin,RON,112,3.52400,2024-04-12,21:44,
ronin,Ronin,RON,500,3.47500,2024-04-12,22:48,
ronin,Ronin,RON,-5321,3.89057,2025-03-03,12:01,
ronin,Ronin,RON,33,3.18100,2024-04-20,12:27,
ronin,Ronin,RON,137,331.40146,2024-04-20,13:16,
ronin,Ronin,RON,1000,2.50959,2024-06-15,01:47,
ronin,Ronin,RON,1000,2.51000,2024-06-15,01:48,
ronin,Ronin,RON,1000,2.51000,2024-06-15,01:49,
ronin,Ronin,RON,250,2.32300,2024-06-18,11:33,
ronin,Ronin,RON,280,2.31600,2024-06-18,11:42,
ronin,Ronin,RON,1000,2.21300,2024-12-19,13:35,
ronin,Ronin,RON,2500,1.04000,2025-02-06,09:21,
ronin,Ronin,RON,-2500,1.17230,2025-02-11,19:10,
axie-infinity,Axie Infinity,axs,580,10.34000,2024-02-08,18:57,
axie-infinity,Axie Infinity,axs,348,9.56400,2024-04-10,19:15,
axie-infinity,Axie Infinity,axs,299,9.22400,2024-04-12,20:26,
axie-infinity,Axie Infinity,axs,100,9.05200,2024-04-12,23:12,
axie-infinity,Axie Infinity,axs,445,0.00001,2024-06-24,16:49,
axie-infinity,Axie Infinity,axs,1000,7.50860,2024-12-16,23:00,
axie-infinity,Axie Infinity,axs,2773,7.61477,2025-03-03,11:56,
axie-infinity,Axie Infinity,axs,1000,5.77890,2025-01-20,11:02,
axie-infinity,Axie Infinity,axs,-1000,6.19817,2025-01-20,16:24,
axie-infinity,Axie Infinity,axs,1000,5.77179,2025-01-21,11:57,
axie-infinity,Axie Infinity,axs,1000,5.98350,2025-01-21,20:31,
axie-infinity,Axie Infinity,axs,1000,5.85110,2025-01-23,10:03,
axie-infinity,Axie Infinity,axs,1000,5.33800,2025-01-27,09:56,
axie-infinity,Axie Infinity,axs,115,4.14100,2025-02-06,09:40,
axie-infinity,Axie Infinity,axs,-115,4.37400,2025-02-11,20:18,
pendle,Pendle,pendle,1325,7.54600,2024-04-11,21:44,
pendle,Pendle,pendle,200,7.06800,2024-04-12,00:24,
pendle,Pendle,pendle,200,6.87300,2024-04-12,02:05,
pendle,Pendle,pendle,400,6.85920,2024-04-12,02:06,
pendle,Pendle,pendle,100,6.07560,2024-06-05,09:24,
pendle,Pendle,pendle,100,6.07350,2024-06-05,09:25,
pendle,Pendle,pendle,150,6.08563,2024-06-05,09:31,
pendle,Pendle,pendle,150,6.08115,2024-06-05,09:33,
pendle,Pendle,pendle,200,6.08200,2024-06-05,09:34,
pendle,Pendle,pendle,400,6.08000,2024-06-05,09:39,
pendle,Pendle,pendle,200,6.08960,2024-06-05,10:55,
pendle,Pendle,pendle,200,6.07122,2024-06-05,11:58,
pendle,Pendle,pendle,300,6.07339,2024-06-05,11:58,
pendle,Pendle,pendle,200,6.06600,2024-06-05,17:33,
pendle,Pendle,pendle,250,6.07380,2024-06-05,17:35,
pendle,Pendle,pendle,200,6.07400,2024-06-05,17:36,
pendle,Pendle,pendle,150,6.07100,2024-06-05,17:37,
pendle,Pendle,pendle,-4737,2.93144,2025-02-27,16:31,
litecoin,Litecoin,LTC,130,352.43557,2025-03-03,12:01,
litecoin,Litecoin,LTC,130,108.37000,2025-08-03,14:40,
binancecoin,BNB,bnb,1,666.07000,2024-12-21,21:50,
binancecoin,BNB,bnb,1,691.52000,2025-01-12,16:47,
binancecoin,BNB,bnb,-1,680.43000,2025-01-21,09:43,
binancecoin,BNB,bnb,-1,709.08400,2025-02-13,18:24,
ordinals,ORDI,ordi,223,204.58190,2024-04-14,11:42,
ordinals,ORDI,ordi,100,26.20000,2024-12-21,23:05,
ordinals,ORDI,ordi,100,26.47000,2024-12-21,23:32,
ordinals,ORDI,ordi,200,24.82100,2025-01-08,11:37,
ordinals,ORDI,ordi,-200,25.84000,2025-01-16,16:31,
ordinals,ORDI,ordi,100,22.07000,2025-01-20,14:10,
ordinals,ORDI,ordi,100,18.35000,2025-01-21,11:45,
ordinals,ORDI,ordi,-100,19.86000,2025-01-21,20:19,
apeironnft,Apeiron,aprs,167,0.60000,2024-03-27,17:00,
apeironnft,Apeiron,aprs,725,62.62345,2024-04-20,13:14,
solana,Solana,sol,10,236.55000,05/12/2024,11:57,
solana,Solana,sol,10,236.83000,05/12/2024,12:02,
solana,Solana,sol,10,236.87000,05/12/2024,12:05,
solana,Solana,sol,10,235.92000,05/12/2024,12:12,
solana,Solana,sol,15,210.48000,2024-12-19,13:37,
solana,Solana,sol,-55,272.01000,2025-01-19,16:38,
solana,Solana,sol,24,169.56000,2025-02-18,16:34,
solana,Solana,sol,128,358.13050,2025-02-27,16:32,
solana,Solana,sol,-24,178.04000,2025-05-11,08:26,
cardano,Cardano,ADA,5620,0.68950,2025-02-03,15:34,
cardano,Cardano,ADA,5616,0.79370,2025-02-04,09:58,
cardano,Cardano,ADA,7587,0.71980,2025-08-03,14:01,
cardano,Cardano,ADA,19385,0.72340,2025-08-03,14:41,
aixbt,aixbt by Virtuals,aixbt,5000,0.63660,2025-01-20,11:51,
aixbt,aixbt by Virtuals,aixbt,-5000,0.66290,2025-01-20,16:36,
aixbt,aixbt by Virtuals,aixbt,5000,0.63741,2025-01-21,12:50,
aixbt,aixbt by Virtuals,aixbt,-5000,0.78585,2025-01-22,10:59,
aixbt,aixbt by Virtuals,aixbt,5000,0.71306,2025-01-24,06:27,
aixbt,aixbt by Virtuals,aixbt,5000,0.60596,2025-01-26,09:56,
aixbt,aixbt by Virtuals,aixbt,2500,0.30510,2025-02-06,09:32,
the-open-network,Toncoin,ton,1000,6.00920,2024-12-16,22:52,
the-open-network,Toncoin,ton,500,5.20500,2025-01-08,11:45,
the-open-network,Toncoin,ton,-500,5.35100,2025-01-14,23:42,
the-open-network,Toncoin,ton,500,5.19898,2025-01-23,09:49,
the-open-network,Toncoin,ton,-1500,3.63700,2025-08-03,13:59,
official-trump,Official Trump,trump,100,34.55000,2025-01-21,08:20,
official-trump,Official Trump,trump,-100,37.48000,2025-01-21,20:05,
official-trump,Official Trump,trump,100,34.90000,2025-01-24,05:43,
pepe,Pepe,pepe,104821802,0.00002,2024-12-15,23:38,
pepe,Pepe,pepe,27203482,0.00002,2025-01-08,11:47,
pepe,Pepe,pepe,98489822,0.00002,2025-01-21,09:40,
pepe,Pepe,pepe,31685678,0.00002,2025-01-22,19:33,
pepe,Pepe,pepe,76982294,0.00001,2025-01-27,12:29,
pepe,Pepe,pepe,-76982294,0.00001,2025-05-15,21:39,
